Entity,Year,Annual CO₂ emissions (per capita)
High-income countries,1800,16.951.261
Low-income countries,1800,0
Lower-middle-income countries,1800,0
Macao,1800,0
Mauritania,1800,0
North America,1800,17.906.493
North America (excl. USA),1800,44.021.028
Oceania,1800,0
Papua New Guinea,1800,0
Poland,1800,45.189.332
Sierra Leone,1800,0
Singapore,1800,0
Tuvalu,1800,0
United Kingdom,1800,29.153.564
United States,1800,42.136
Upper-middle-income countries,1800,0
World,1800,33.286.307
Africa,1801,0
Andorra,1801,0
Asia,1801,0
Asia (excl. China and India),1801,0
Australia,1801,0
Bhutan,1801,0
Brunei,1801,0
Canada,1801,71.507.194
Cote d'Ivoire,1801,0
Europe,1801,16.206.962
Europe (excl. EU-27),1801,48.715.878
Europe (excl. EU-28),1801,0
European Union (27),1801,73.781.093
European Union (28),1801,22.107.224
Germany,1801,29.240.523
Guinea,1801,0
High-income countries,1801,16.441.928
Low-income countries,1801,0
Lower-middle-income countries,1801,0
Mauritania,1801,0
North America,1801,18.690.445
North America (excl. USA),1801,4.365.604
Oceania,1801,0
Papua New Guinea,1801,0
Poland,1801,48.899.516
Sierra Leone,1801,0
Singapore,1801,0
Tuvalu,1801,0
United Kingdom,1801,28.286.498
United States,1801,43.749.023
Upper-middle-income countries,1801,0
World,1801,32.386.728
Africa,1802,0
Andorra,1802,0
Asia,1802,0
Asia (excl. China and India),1802,0
Australia,1802,0
Belgium,1802,19.576.033
Bhutan,1802,0
Brunei,1802,0
Canada,1802,69.777.183
Cote d'Ivoire,1802,0
Europe,1802,20.353.201
Europe (excl. EU-27),1802,4.804.832
Europe (excl. EU-28),1802,0
European Union (27),1802,7.226.808
European Union (28),1802,27.717.528
France,1802,76.622
Germany,1802,29.754.901
Guinea,1802,0
High-income countries,1802,20.593.195
Low-income countries,1802,0
Lower-middle-income countries,1802,0
Mauritania,1802,0
North America,1802,1.989.458
North America (excl. USA),1802,43.085.916
Oceania,1802,0
Papua New Guinea,1802,0
Poland,1802,49.343.564
Sierra Leone,1802,0
Singapore,1802,0
Tuvalu,1802,0
United Kingdom,1802,27.656.965
United States,1802,46.463.702
Upper-middle-income countries,1802,0
World,1802,4.067.251
Africa,1803,0
Andorra,1803,0
Asia,1803,0
Asia (excl. China and India),1803,0
Australia,1803,0
Bhutan,1803,0
Brunei,1803,0
Canada,1803,6.808.903
Cote d'Ivoire,1803,0
Europe,1803,14.800.158
Europe (excl. EU-27),1803,44.578.078
Europe (excl. EU-28),1803,0
European Union (27),1803,74.263.136
European Union (28),1803,20.122.284
Germany,1803,2.830.634
Guinea,1803,0
High-income countries,1803,14.996.637
Low-income countries,1803,0
Lower-middle-income countries,1803,0
Mauritania,1803,0
North America,1803,20.074.496
North America (excl. USA),1803,42.511.767
Oceania,1803,0
Papua New Guinea,1803,0
Poland,1803,50.176.714
Sierra Leone,1803,0
Singapore,1803,0
Tuvalu,1803,0
United Kingdom,1803,25.437.405
United States,1803,4.675.338
Upper-middle-income countries,1803,0
World,1803,29.698.573
Africa,1804,0
Andorra,1804,0
Asia,1804,0
Asia (excl. China and India),1804,0
Australia,1804,0
Bhutan,1804,0
Brunei,1804,0
Canada,1804,6.644.181
Cote d'Ivoire,1804,0
Europe,1804,15.834.765
Europe (excl. EU-27),1804,43.774.664
Europe (excl. EU-28),1804,0
European Union (27),1804,26.974.672
European Union (28),1804,21.493.724
France,1804,7.393.558
Germany,1804,5.245.813
Guinea,1804,0
High-income countries,1804,1.602.864
Low-income countries,1804,0
Lower-middle-income countries,1804,0
Mauritania,1804,0
North America,1804,2.216.836
North America (excl. USA),1804,41.933.838
Oceania,1804,0
Papua New Guinea,1804,0
Poland,1804,49.413.763
Sierra Leone,1804,0
Singapore,1804,0
Tuvalu,1804,0
United Kingdom,1804,24.763.212
United States,1804,51.547.863
Upper-middle-income countries,1804,0
World,1804,31.827.636
Africa,1805,0
Andorra,1805,0
Asia,1805,0
Asia (excl. China and India),1805,0
Australia,1805,10.380.151
Bhutan,1805,0
Brunei,1805,0
Canada,1805,6.483.441
Cote d'Ivoire,1805,0
Europe,1805,15.495.482
Europe (excl. EU-27),1805,4.604.876
Europe (excl. EU-28),1805,0
European Union (27),1805,11.867.919
European Union (28),1805,20.998.791
Germany,1805,53.302.526
Guinea,1805,0
High-income countries,1805,15.668.845
Low-income countries,1805,0
Lower-middle-income countries,1805,0
Mauritania,1805,0
North America,1805,22.290.347
North America (excl. USA),1805,41.352.306
Oceania,1805,15.933.833
Papua New Guinea,1805,0
Poland,1805,61.216.537
Sierra Leone,1805,0
Singapore,1805,0
Tuvalu,1805,0
United Kingdom,1805,25.825.114
United States,1805,5.170.035
Upper-middle-income countries,1805,0
World,1805,31.196.972
Africa,1806,0
Andorra,1806,0
Asia,1806,0
Asia (excl. China and India),1806,0
Australia,1806,28.337.112
Bhutan,1806,0
Brunei,1806,0
Canada,1806,63.265.893
Cote d'Ivoire,1806,0
Europe,1806,16.148.834
Europe (excl. EU-27),1806,48.482.764
Europe (excl. EU-28),1806,0
European Union (27),1806,1.066.949
European Union (28),1806,21.848.395
Germany,1806,47.273.606
Guinea,1806,0
High-income countries,1806,16.293.992
Low-income countries,1806,0
Lower-middle-income countries,1806,0
Mauritania,1806,0
North America,1806,21.465.817
North America (excl. USA),1806,4.076.734
Oceania,1806,4.461.631
Papua New Guinea,1806,0
Poland,1806,5.531.447
Sierra Leone,1806,0
Singapore,1806,0
Tuvalu,1806,0
United Kingdom,1806,2.695.625
United States,1806,49.647.022
Upper-middle-income countries,1806,0
World,1806,32.529.123
Africa,1807,0
Andorra,1807,0
Asia,1807,0
Asia (excl. China and India),1807,0
Australia,1807,26.282.691
Austria,1807,53.945.992
Bhutan,1807,0
Brunei,1807,0
Canada,1807,6.173.526
Cote d'Ivoire,1807,0
Europe,1807,17.784.221
Europe (excl. EU-27),1807,510.016
Europe (excl. EU-28),1807,0
European Union (27),1807,23.525.918
European Union (28),1807,2.402.163
Germany,1807,13.335.954
Guinea,1807,0
High-income countries,1807,17.921.612
Low-income countries,1807,0
Lower-middle-income countries,1807,0
Mauritania,1807,0
North America,1807,23.872.076
North America (excl. USA),1807,4.017.911
Oceania,1807,42.435.058
Papua New Guinea,1807,0
Poland,1807,3.982.849
Sierra Leone,1807,0
Singapore,1807,0
Tuvalu,1807,0
United Kingdom,1807,2.811.327
United States,1807,55.148.073
Upper-middle-income countries,1807,0
World,1807,35.875.093
Africa,1808,0
Andorra,1808,0
Asia,1808,0
Asia (excl. China and India),1808,0
Australia,1808,32.052.195
Bhutan,1808,0
Brunei,1808,0
Canada,1808,6.024.176
Cote d'Ivoire,1808,0
Europe,1808,17.342.553
Europe (excl. EU-27),1808,5.263.848
Europe (excl. EU-28),1808,0
European Union (27),1808,10.114.886
European Union (28),1808,23.386.754
Germany,1808,43.796.904
Guinea,1808,0
High-income countries,1808,17.461.832
Low-income countries,1808,0
Lower-middle-income countries,1808,0
Mauritania,1808,0
North America,1808,24.383.908
North America (excl. USA),1808,3.958.777
Oceania,1808,5.305.537
Papua New Guinea,1808,0
Poland,1808,52.587.613
Sierra Leone,1808,0
Singapore,1808,0
Tuvalu,1808,0
United Kingdom,1808,28.766.963
United States,1808,56.223.534
Upper-middle-income countries,1808,0
World,1808,35.049.245
Africa,1809,0
Andorra,1809,0
Asia,1809,0
Asia (excl. China and India),1809,0
Australia,1809,49.977.372
Bhutan,1809,0
Brunei,1809,0
Canada,1809,5.878.427
Cote d'Ivoire,1809,0
Europe,1809,17.662.488
Europe (excl. EU-27),1809,53.804.123
Europe (excl. EU-28),1809,0
European Union (27),1809,10.078.469
European Union (28),1809,23.779.258
Germany,1809,44.674.568
Guinea,1809,0
High-income countries,1809,17.758.769
Low-income countries,1809,0
Lower-middle-income countries,1809,0
Mauritania,1809,0
North America,1809,24.646.167
North America (excl. USA),1809,38.993.426
Oceania,1809,84.793.137
Papua New Guinea,1809,0
Poland,1809,49.153.995
Sierra Leone,1809,0
Singapore,1809,0
Tuvalu,1809,0
United Kingdom,1809,2.915.259
United States,1809,5.672.419
Upper-middle-income countries,1809,0
World,1809,3.574.179
Africa,1810,0
Andorra,1810,0
Asia,1810,0
Asia (excl. China and India),1810,0
Australia,1810,48.680.147
Bhutan,1810,0
Brunei,1810,0
Canada,1810,5.732.775
Cote d'Ivoire,1810,0
Europe,1810,19.075.261
Europe (excl. EU-27),1810,54.745.096
Europe (excl. EU-28),1810,0
European Union (27),1810,2.616.926
European Union (28),1810,2.562.328
France,1810,70.469.946
Germany,1810,46.192.635
Greenland,1810,0
Guinea,1810,0
High-income countries,1810,19.130.826
Low-income countries,1810,0
Lower-middle-income countries,1810,0
Mauritania,1810,0
North America,1810,24.993.856
North America (excl. USA),1810,38.343.866
Oceania,1810,8.257.698
Papua New Guinea,1810,0
Poland,1810,58.625.095
Sierra Leone,1810,0
Singapore,1810,0
Tuvalu,1810,0
United Kingdom,1810,28.722.124
United States,1810,57.195.846
Upper-middle-income countries,1810,0
World,1810,3.861.839
Africa,1811,0
Andorra,1811,0
Asia,1811,0
Asia (excl. China and India),1811,0
Australia,1811,830.243
Bhutan,1811,0
Brunei,1811,0
Canada,1811,55.940.812
Cote d'Ivoire,1811,0
Europe,1811,192.589
Europe (excl. EU-27),1811,55.454.993
Europe (excl. EU-28),1811,0
European Union (27),1811,25.298.532
European Union (28),1811,2.581.296
France,1811,67.903.295
Germany,1811,4.306.568
Guinea,1811,0
High-income countries,1811,19.297.595
Low-income countries,1811,0
Lower-middle-income countries,1811,0
Mauritania,1811,0
North America,1811,26.250.409
North America (excl. USA),1811,37.908.007
Oceania,1811,14.794.975
Papua New Guinea,1811,0
Poland,1811,60.448.285
Sierra Leone,1811,0
Singapore,1811,0
Tuvalu,1811,0
United Kingdom,1811,28.188.872
United States,1811,5.957.973
Upper-middle-income countries,1811,0
World,1811,3.910.187
Africa,1812,0
Andorra,1812,0
Asia,1812,0
Asia (excl. China and India),1812,0
Australia,1812,8.092.243
Bhutan,1812,0
Brunei,1812,0
Canada,1812,54.587.494
Cote d'Ivoire,1812,0
Europe,1812,1.939.764
Europe (excl. EU-27),1812,5.576.402
Europe (excl. EU-28),1812,0
European Union (27),1812,25.235.424
European Union (28),1812,25.937.936
France,1812,7.308.623
Germany,1812,41.702.244
Guinea,1812,0
High-income countries,1812,19.417.302
Low-income countries,1812,0
Lower-middle-income countries,1812,0
Mauritania,1812,0
North America,1812,2.780.726
North America (excl. USA),1812,37.400.727
Oceania,1812,14.770.633
Papua New Guinea,1812,0
Poland,1812,4.621.533
Sierra Leone,1812,0
Singapore,1812,0
Tuvalu,1812,0
United Kingdom,1812,27.279.038
United States,1812,625.836
Upper-middle-income countries,1812,0
World,1812,39.486.334
Africa,1813,0
Andorra,1813,0
Asia,1813,0
Asia (excl. China and India),1813,0
Australia,1813,10.139.381
Bhutan,1813,0
Brunei,1813,0
Canada,1813,5.326.681
Cote d'Ivoire,1813,0
Europe,1813,19.398.937
Europe (excl. EU-27),1813,55.972.695
Europe (excl. EU-28),1813,0
European Union (27),1813,23.221.593
European Union (28),1813,25.874.788
France,1813,6.727.743
Germany,1813,4.004.199
Guinea,1813,0
High-income countries,1813,19.400.124
Low-income countries,1813,0
Lower-middle-income countries,1813,0
Mauritania,1813,0
North America,1813,29.262.545
North America (excl. USA),1813,36.916.597
Oceania,1813,18.952.437
Papua New Guinea,1813,0
Poland,1813,3.847.724
Sierra Leone,1813,0
Singapore,1813,0
Tuvalu,1813,0
United Kingdom,1813,26.192.143
United States,1813,6.519.789
Upper-middle-income countries,1813,0
World,1813,39.604.392
Africa,1814,0
Andorra,1814,0
Asia,1814,0
Asia (excl. China and India),1814,0
Australia,1814,12.042.811
Bhutan,1814,0
Brunei,1814,0
Canada,1814,51.978.193
Cote d'Ivoire,1814,0
Europe,1814,19.689.113
Europe (excl. EU-27),1814,5.642.654
Europe (excl. EU-28),1814,0
European Union (27),1814,24.160.666
European Union (28),1814,26.196.834
France,1814,6.846.539
Germany,1814,39.072.905
Guinea,1814,0
High-income countries,1814,19.670.106
Low-income countries,1814,0
Lower-middle-income countries,1814,0
Mauritania,1814,0
North America,1814,30.839.905
North America (excl. USA),1814,3.643.657
Oceania,1814,23.046.676
Papua New Guinea,1814,0
Poland,1814,50.314.993
Sierra Leone,1814,0
Singapore,1814,0
Tuvalu,1814,0
United Kingdom,1814,25.276.635
United States,1814,6.802.918
Upper-middle-income countries,1814,0
World,1814,40.314.633
Africa,1815,0
Andorra,1815,0
Asia,1815,0
Asia (excl. China and India),1815,0
Australia,1815,9.363.818
Bhutan,1815,0
Brunei,1815,0
Canada,1815,50.720.666
Cote d'Ivoire,1815,0
Europe,1815,20.127.033
Europe (excl. EU-27),1815,56.837.416
Europe (excl. EU-28),1815,0
European Union (27),1815,2.733.594
European Union (28),1815,26.713.872
France,1815,76.333.165
Germany,1815,44.824.384
Guinea,1815,0
High-income countries,1815,20.084.605
Low-income countries,1815,0
Lower-middle-income countries,1815,0
Mauritania,1815,0
North America,1815,32.332.525
North America (excl. USA),1815,3.596.065
Oceania,1815,1.834.278
Papua New Guinea,1815,0
Poland,1815,58.696.058
Sierra Leone,1815,0
Singapore,1815,0
Tuvalu,1815,0
United Kingdom,1815,24.391.406
United States,1815,70.616.506
Upper-middle-income countries,1815,0
World,1815,41.331.157
Africa,1816,0
Andorra,1816,0
Asia,1816,0
Asia (excl. China and India),1816,0
Australia,1816,75.619.943
Bhutan,1816,0
Brunei,1816,0
Canada,1816,49.493.583
Cote d'Ivoire,1816,0
Europe,1816,20.793.739
Europe (excl. EU-27),1816,5.633.356
Europe (excl. EU-28),1816,0
European Union (27),1816,38.126.983
European Union (28),1816,2.753.175
France,1816,8.116.601
Germany,1816,1.021.735
Guinea,1816,0
High-income countries,1816,20.733.319
Low-income countries,1816,0
Lower-middle-income countries,1816,0
Mauritania,1816,0
North America,1816,34.892.946
North America (excl. USA),1816,35.488.815
Oceania,1816,1.515.951
Papua New Guinea,1816,0
Poland,1816,6.695.161
Sierra Leone,1816,0
Singapore,1816,0
Tuvalu,1816,0
United Kingdom,1816,23.177.464
United States,1816,7.547.438
Upper-middle-income countries,1816,0
World,1816,42.843.517
Africa,1817,0
Andorra,1817,0
Asia,1817,0
Asia (excl. China and India),1817,0
Australia,1817,66.079.865
Bhutan,1817,0
Brunei,1817,0
Canada,1817,4.829.619
Cote d'Ivoire,1817,0
Europe,1817,22.302.161
Europe (excl. EU-27),1817,58.972.436
Europe (excl. EU-28),1817,0
European Union (27),1817,46.199.854
European Union (28),1817,2.945.785
France,1817,86.080.305
Germany,1817,14.253.065
Guinea,1817,0
High-income countries,1817,22.202.967
Low-income countries,1817,0
Lower-middle-income countries,1817,0
Mauritania,1817,0
North America,1817,36.947.973
North America (excl. USA),1817,35.021.073
Oceania,1817,13.553.773
Papua New Guinea,1817,0
Poland,1817,7.292.754
Sierra Leone,1817,0
Singapore,1817,0
Tuvalu,1817,0
United Kingdom,1817,23.279.696
United States,1817,79.147.205
Upper-middle-income countries,1817,0
World,1817,4.607.607
Africa,1818,0
Andorra,1818,0
Asia,1818,0
Asia (excl. China and India),1818,0
Australia,1818,5.946.232
Bhutan,1818,0
Brunei,1818,0
Canada,1818,47.127.767
Cote d'Ivoire,1818,0
Europe,1818,23.012.555
Europe (excl. EU-27),1818,60.774.183
Europe (excl. EU-28),1818,0
European Union (27),1818,46.231.378
European Union (28),1818,30.323.514
France,1818,7.678.174
Germany,1818,14.646.468
Guinea,1818,0
High-income countries,1818,22.890.447
Low-income countries,1818,0
Lower-middle-income countries,1818,0
Mauritania,1818,0
North America,1818,3.925.944
North America (excl. USA),1818,34.557.417
Oceania,1818,12.476.186
Papua New Guinea,1818,0
Poland,1818,8.986.743
Sierra Leone,1818,0
Singapore,1818,0
Tuvalu,1818,0
United Kingdom,1818,2.303.634
United States,1818,8.329.477
Upper-middle-income countries,1818,0
World,1818,47.710.717
Africa,1819,0
Andorra,1819,0
Asia,1819,0
Asia (excl. China and India),1819,0
Australia,1819,109.278.485
Austria,1819,75.489.655
Bhutan,1819,0
Brunei,1819,0
Canada,1819,45.876.615
Cote d'Ivoire,1819,0
Europe,1819,22.588.727
Europe (excl. EU-27),1819,59.236.735
Europe (excl. EU-28),1819,0
European Union (27),1819,45.954.663
European Union (28),1819,2.970.516
France,1819,82.100.935
Germany,1819,13.376.212
Guinea,1819,0
High-income countries,1819,22.438.103
Low-income countries,1819,0
Lower-middle-income countries,1819,0
Mauritania,1819,0
North America,1819,3.754.317
North America (excl. USA),1819,34.147.457
Oceania,1819,23.331.456
Papua New Guinea,1819,0
Poland,1819,7.327.879
Sierra Leone,1819,0
Singapore,1819,0
Tuvalu,1819,0
United Kingdom,1819,21.739.373
United States,1819,788.342
Upper-middle-income countries,1819,0
World,1819,46.950.724
Africa,1820,0
Andorra,1820,0
Asia,1820,0
Asia (excl. China and India),1820,0
Australia,1820,18.738.898
Austria,1820,9.901.921
Bhutan,1820,0
Brunei,1820,0
Canada,1820,4.455.307
Cote d'Ivoire,1820,0
Europe,1820,22.237.076
Europe (excl. EU-27),1820,57.125.103
Europe (excl. EU-28),1820,0
European Union (27),1820,49.088.627
European Union (28),1820,29.245.347
France,1820,9.271.228
Germany,1820,1.361.196
Greenland,1820,0
Guinea,1820,0
High-income countries,1820,22.117.804
Low-income countries,1820,0
Lower-middle-income countries,1820,0
Mauritania,1820,0
North America,1820,3.816.023
North America (excl. USA),1820,33.710.903
Oceania,1820,39.380.146
Papua New Guinea,1820,0
Poland,1820,71.687.624
Sierra Leone,1820,0
Singapore,1820,0
Tuvalu,1820,0
United Kingdom,1820,20.557.053
United States,1820,7.940.742
Upper-middle-income countries,1820,0
World,1820,4.639.832
Africa,1821,0
Andorra,1821,0
Asia,1821,0
Asia (excl. China and India),1821,0
Australia,1821,9.483.858
Austria,1821,106.077.276
Bhutan,1821,0
Brunei,1821,0
Canada,1821,43.168.045
Cote d'Ivoire,1821,0
Europe,1821,22.647.488
Europe (excl. EU-27),1821,5.797.297
Europe (excl. EU-28),1821,0
European Union (27),1821,51.145.405
European Union (28),1821,2.969.682
France,1821,95.714.025
Germany,1821,1.402.481
Guinea,1821,0
High-income countries,1821,22.484.004
Low-income countries,1821,0
Lower-middle-income countries,1821,0
Mauritania,1821,0
North America,1821,39.216.816
North America (excl. USA),1821,334.885
Oceania,1821,20.656.504
Papua New Guinea,1821,0
Poland,1821,78.836.694
Sierra Leone,1821,0
Singapore,1821,0
Tuvalu,1821,0
United Kingdom,1821,20.387.487
United States,1821,8.064.995
Upper-middle-income countries,1821,0
World,1821,47.355.454
Africa,1822,0
Andorra,1822,0
Asia,1822,0
Asia (excl. China and India),1822,0
Australia,1822,1.180.683
Austria,1822,10.769.429
Bhutan,1822,0
Brunei,1822,0
Canada,1822,41.732.965
Cote d'Ivoire,1822,0
Europe,1822,23.298.426
Europe (excl. EU-27),1822,59.467.703
Europe (excl. EU-28),1822,0
European Union (27),1822,53.013.325
European Union (28),1822,30.524.227
France,1822,100.134.835
Germany,1822,14.235.331
Guinea,1822,0
High-income countries,1822,23.124.044
Low-income countries,1822,0
Lower-middle-income countries,1822,0
Mauritania,1822,0
North America,1822,40.193.643
North America (excl. USA),1822,3.320.269
Oceania,1822,2.578.651
Papua New Guinea,1822,0
Poland,1822,85.877.135
Sierra Leone,1822,0
Singapore,1822,0
Tuvalu,1822,0
United Kingdom,1822,20.682.518
United States,1822,8.181.233
Upper-middle-income countries,1822,0
World,1822,48.832.577
Africa,1823,0
Andorra,1823,0
Asia,1823,0
Asia (excl. China and India),1823,0
Australia,1823,14.182.906
Austria,1823,101.810.046
Bhutan,1823,0
Brunei,1823,0
Canada,1823,40.259.357
Cote d'Ivoire,1823,0
Europe,1823,24.110.673
Europe (excl. EU-27),1823,6.106.799
Europe (excl. EU-28),1823,0
European Union (27),1823,57.129.394
European Union (28),1823,31.573.913
France,1823,9.950.061
Germany,1823,15.628.752
Guinea,1823,0
High-income countries,1823,23.929.422
Low-income countries,1823,0
Lower-middle-income countries,1823,0
Mauritania,1823,0
North America,1823,41.189.134
North America (excl. USA),1823,33.010.007
Oceania,1823,3.091.105
Papua New Guinea,1823,0
Poland,1823,11.446.584
Sierra Leone,1823,0
Singapore,1823,0
Tuvalu,1823,0
United Kingdom,1823,21.145.442
United States,1823,8.290.245
Upper-middle-income countries,1823,0
World,1823,50.612.494
Africa,1824,0
Andorra,1824,0
Asia,1824,0
Asia (excl. China and India),1824,0
Australia,1824,14.199.973
Austria,1824,11.624.328
Bhutan,1824,0
Brunei,1824,0
Canada,1824,38.837.793
Cote d'Ivoire,1824,0
Europe,1824,2.439.491
Europe (excl. EU-27),1824,6.244.061
Europe (excl. EU-28),1824,0
European Union (27),1824,5.442.937
European Union (28),1824,31.933.483
France,1824,10.972.901
Germany,1824,12.372.251
Guinea,1824,0
High-income countries,1824,24.250.682
Low-income countries,1824,0
Lower-middle-income countries,1824,0
Mauritania,1824,0
North America,1824,45.550.894
North America (excl. USA),1824,32.779.816
Oceania,1824,3.088.322
Papua New Guinea,1824,0
Poland,1824,11.874.538
Sierra Leone,1824,0
Singapore,1824,0
Tuvalu,1824,0
United Kingdom,1824,21.529.691
United States,1824,9.074.809
Upper-middle-income countries,1824,0
World,1824,51.373.772
Africa,1825,0
Andorra,1825,0
Asia,1825,0
Asia (excl. China and India),1825,0
Australia,1825,86.447.345
Austria,1825,11.673.694
Bhutan,1825,0
Brunei,1825,0
Canada,1825,37.466.397
Cote d'Ivoire,1825,0
Europe,1825,25.490.394
Europe (excl. EU-27),1825,6.372.988
Europe (excl. EU-28),1825,0
European Union (27),1825,64.262.256
European Union (28),1825,3.335.617
France,1825,122.663.274
Germany,1825,16.412.507
Guinea,1825,0
High-income countries,1825,2.536.623
Low-income countries,1825,0
Lower-middle-income countries,1825,0
Mauritania,1825,0
North America,1825,5.005.761
North America (excl. USA),1825,32.542.186
Oceania,1825,18.761.529
Papua New Guinea,1825,0
Poland,1825,122.617.334
Sierra Leone,1825,0
Singapore,1825,0
Tuvalu,1825,0
United Kingdom,1825,21.886.015
United States,1825,9.872.902
Upper-middle-income countries,1825,0
World,1825,53.823.054
Africa,1826,0
Andorra,1826,0
Asia,1826,0
Asia (excl. China and India),1826,0
Australia,1826,19.180.024
Austria,1826,13.200.791
Bhutan,1826,0
Brunei,1826,0
Canada,1826,3.614.346
Cote d'Ivoire,1826,0
Europe,1826,2.547.321
Europe (excl. EU-27),1826,63.846.225
Europe (excl. EU-28),1826,0
European Union (27),1826,6.329.052
European Union (28),1826,33.322.278
France,1826,12.594.925
Germany,1826,15.657.145
Guinea,1826,0
High-income countries,1826,25.421.712
Low-income countries,1826,0
Lower-middle-income countries,1826,0
Mauritania,1826,0
North America,1826,56.906.432
North America (excl. USA),1826,3.229.706
Oceania,1826,41.537.895
Papua New Guinea,1826,0
Poland,1826,111.967.854
Sierra Leone,1826,0
Singapore,1826,0
Tuvalu,1826,0
United Kingdom,1826,21.842.163
United States,1826,111.148.365
Upper-middle-income countries,1826,0
World,1826,5.403.541
Africa,1827,0
Andorra,1827,0
Asia,1827,0
Asia (excl. China and India),1827,0
Australia,1827,17.820.317
Austria,1827,13.661.791
Bhutan,1827,0
Brunei,1827,0
Canada,1827,3.486.721
Cote d'Ivoire,1827,0
Europe,1827,2.703.259
Europe (excl. EU-27),1827,65.721.315
Europe (excl. EU-28),1827,0
European Union (27),1827,7.713.854
European Union (28),1827,35.352.162
France,1827,18.088.658
Germany,1827,16.771.843
Guinea,1827,0
High-income countries,1827,26.994.857
Low-income countries,1827,0
Lower-middle-income countries,1827,0
Mauritania,1827,0
North America,1827,61.460.372
North America (excl. USA),1827,32.044.412
Oceania,1827,38.510.903
Papua New Guinea,1827,0
Poland,1827,119.157.985
Sierra Leone,1827,0
Singapore,1827,0
Tuvalu,1827,0
